2022-10-25 09:23:37 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-10-25 09:23:37 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-10-25 09:23:37 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-10-25 09:23:37 status installed libsqlite3-0:amd64 3.34.1-3
2022-10-25 09:23:37 configure libnpth0:amd64 1.6-3 <none>
2022-10-25 09:23:37 status unpacked libnpth0:amd64 1.6-3
2022-10-25 09:23:37 status half-configured libnpth0:amd64 1.6-3
2022-10-25 09:23:37 status installed libnpth0:amd64 1.6-3
2022-10-25 09:23:37 configure libassuan0:amd64 2.5.3-7.1 <none>
2022-10-25 09:23:37 status unpacked libassuan0:amd64 2.5.3-7.1
2022-10-25 09:23:37 status half-configured libassuan0:amd64 2.5.3-7.1
2022-10-25 09:23:37 status installed libassuan0:amd64 2.5.3-7.1
2022-10-25 09:23:37 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-10-25 09:23:37 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-10-25 09:23:37 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-10-25 09:23:37 status installed libncursesw6:amd64 6.2+20201114-2
2022-10-25 09:23:37 configure readline-common:all 8.1-1 <none>
2022-10-25 09:23:37 status unpacked readline-common:all 8.1-1
2022-10-25 09:23:37 status half-configured readline-common:all 8.1-1
2022-10-25 09:23:37 status installed readline-common:all 8.1-1
2022-10-25 09:23:37 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-10-25 09:23:37 status unpacked pinentry-curses:amd64 1.1.0-4
2022-10-25 09:23:37 status half-configured pinentry-curses:amd64 1.1.0-4
2022-10-25 09:23:37 status installed pinentry-curses:amd64 1.1.0-4
2022-10-25 09:23:37 configure libreadline8:amd64 8.1-1 <none>
2022-10-25 09:23:37 status unpacked libreadline8:amd64 8.1-1
2022-10-25 09:23:37 status half-configured libreadline8:amd64 8.1-1
2022-10-25 09:23:37 status installed libreadline8:amd64 8.1-1
2022-10-25 09:23:37 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpgconf:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpg:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpg:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpgsm:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed dirmngr:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 configure gnupg:all 2.2.27-2+deb11u2 <none>
2022-10-25 09:23:37 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-configured gnupg:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 status installed gnupg:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-10-25 09:23:37 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:37 status installed libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:45 startup archives unpack
2022-10-25 09:23:45 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-10-25 09:23:45 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-10-25 09:23:46 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-10-25 09:23:46 install libgdbm6:amd64 <none> 1.19-2
2022-10-25 09:23:46 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:46 status half-installed libgdbm6:amd64 1.19-2
2022-10-25 09:23:46 status unpacked libgdbm6:amd64 1.19-2
2022-10-25 09:23:46 install libgdbm-compat4:amd64 <none> 1.19-2
2022-10-25 09:23:46 status half-installed libgdbm-compat4:amd64 1.19-2
2022-10-25 09:23:46 status unpacked libgdbm-compat4:amd64 1.19-2
2022-10-25 09:23:46 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-10-25 09:23:46 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-10-25 09:23:46 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-10-25 09:23:46 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-10-25 09:23:46 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-10-25 09:23:46 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-10-25 09:23:46 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-10-25 09:23:46 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:46 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:46 install libexpat1:amd64 <none> 2.2.10-2+deb11u4
2022-10-25 09:23:46 status half-installed libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 09:23:46 status unpacked libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 09:23:46 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-10-25 09:23:46 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 startup packages configure
2022-10-25 09:23:47 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-10-25 09:23:47 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 configure libexpat1:amd64 2.2.10-2+deb11u4 <none>
2022-10-25 09:23:47 status unpacked libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 09:23:47 status half-configured libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 09:23:47 status installed libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 09:23:47 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-10-25 09:23:47 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 status installed python3.9-minimal:amd64 3.9.2-1
2022-10-25 09:23:47 startup archives unpack
2022-10-25 09:23:47 install python3-minimal:amd64 <none> 3.9.2-3
